title,year,genres,avg rating,rating,tags
"Trip to the Moon, A (Voyage dans la lune, Le)",1902,Action,3.5,3.5|4.5|3.0|3.5|3.0,N/A
The Great Train Robbery,1903,Crime,2.5,4.0|1.0,N/A
The Electric Hotel,1908,Animation,4,4,N/A
"Birth of a Nation, The",1915,Drama,2,2,N/A
"20,000 Leagues Under the Sea",1916,Action,3.75,4.0|3.5,N/A
Intolerance: Love's Struggle Throughout the Ages,1916,Drama,3.5,3.5,N/A
Snow White,1916,Fantasy,3.5,3.5,N/A
"Rink, The",1916,Comedy,3.5,3.5,N/A
"Immigrant, The",1917,Comedy,4.5,4.5,N/A
Daddy Long Legs,1919,Comedy,2,2,N/A
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)",1920,Crime,3.86,3.0|3.0|5.0|3.5|4.0|5.0|3.5,N/A
One Week,1920,Comedy,3.5,3.5,N/A
"Kid, The",1921,Comedy,4.1,4.5|3.0|4.0|4.0|5.0,orphans
"Nosferatu (Nosferatu, eine Symphonie des Grauens)",1922,Horror,3.53,4.0|4.0|4.0|3.0|4.0|2.0|5.0|4.0|4.0|3.5|4.0|4.0|2.5|3.0|3.0|2.5,vampires
"Woman of Paris, A",1923,Drama,4,3.5|4.5,N/A
Safety Last!,1923,Action,4,3.0|5.0,clock
Our Hospitality,1923,Comedy,3.25,3.0|3.5,in netflix queue
"Hunchback of Notre Dame, The",1923,Drama,3,3,N/A
Aelita: The Queen of Mars (Aelita),1924,Action,4.5,4.5,N/A
Greed,1924,Drama,4,4,gold
"Navigator, The",1924,Comedy,3.5,3.5,N/A
"Thief of Bagdad, The",1924,Action,3.5,3.5,N/A
Sherlock Jr.,1924,Comedy,3,2.0|4.0,N/A
"Gold Rush, The",1925,Adventure,4.07,4.5|4.0|4.0|4.5|4.0|3.0|4.5,mining
"Freshman, The",1925,Comedy,4,4,N/A
Battleship Potemkin,1925,Drama,3.65,4.0|4.0|4.0|5.0|4.0|3.5|4.5|0.5|4.0|3.0,N/A
Ben-Hur: A Tale of the Christ,1925,Adventure,3,3,N/A
Secrets of a Soul (Geheimnisse einer Seele),1926,Drama,4.5,4.5,N/A
"General, The",1926,Comedy,4,3.5|4.0|3.0|5.0|2.0|5.0|5.0|5.0|3.5,N/A
"Son of the Sheik, The",1926,Adventure,4,4,N/A
Faust,1926,Drama,4,4,in netflix queue
By the Law,1926,Drama,3.5,3.5,N/A
Sunrise: A Song of Two Humans,1927,Drama,4,4,N/A
"Jazz Singer, The",1927,Drama,4,4,N/A
Metropolis,1927,Drama,3.86,4.0|3.5|3.0|5.0|4.0|4.0|3.0|5.0|4.0|4.0|4.0|4.0|2.5|3.0|3.5|3.5|3.0|5.0|4.0|4.0|5.0,N/A
"Lodger: A Story of the London Fog, The",1927,Crime,3.5,3.0|4.0|3.5,N/A
College,1927,Comedy,3.5,3.5,in netflix queue
"Cat and the Canary, The",1927,Horror,3,3,N/A
"Ring, The",1927,Drama,1,1,N/A
"Steamboat Bill, Jr.",1928,Comedy,4.5,4.5,N/A
"Circus, The",1928,Comedy,4.13,4.5|3.5|4.5|4.0,circus|big top
"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",1928,Drama,3.9,4.5|4.0|4.0|4.5|2.5,saint
Steamboat Willie,1928,Animation,2.33,4.0|1.0|2.0,N/A
"Andalusian Dog, An (Chien andalou, Un)",1929,Fantasy,4.5,4.0|5.0|4.0|5.0,surrealism|mindfuck|surreal
"Cocoanuts, The",1929,Comedy,3.5,3.5,N/A
"Man with the Movie Camera, The (Chelovek s kino-apparatom)",1929,Documentary,3.33,5.0|3.0|2.0,N/A
"Broadway Melody, The",1929,Musical,3,3,N/A
All Quiet on the Western Front,1930,Action,4.35,5.0|5.0|4.5|4.5|5.0|5.0|3.5|3.5|3.5|4.0,N/A
Animal Crackers,1930,Comedy,4.13,4.0|4.0|4.0|4.5,N/A
"Blue Angel, The (Blaue Engel, Der)",1930,Drama,4,4,singers|nightclub
"Divorcee, The",1930,Drama,4,4,divorce
Anna Christie,1930,Drama,3.5,3.5,N/A
Girls About Town,1931,Comedy,5,5,N/A
"Public Enemy, The",1931,Action,4.25,4.5|4.0,N/A
Little Caesar,1931,Crime,4,4,N/A
Frankenstein,1931,Drama,3.91,4.0|5.0|3.5|2.0|5.0|4.5|5.0|4.0|3.5|3.5|3.0,in netflix queue
City Lights,1931,Comedy,3.85,5.0|2.0|5.0|2.0|4.0|5.0|3.0|3.0|4.0|4.5|3.5|4.5|4.5,blind
M,1931,Crime,3.73,4.0|4.0|4.0|3.0|2.0|4.5|4.0|4.0|4.0|5.0|4.0|4.0|4.0|0.5|5.0,chilly|mental illness|atmospheric|creepy|serial killer|menacing|oninous
"Maltese Falcon, The (a.k.a. Dangerous Female)",1931,Mystery,3.62,4.0|4.5|5.0|5.0|4.0|4.0|4.5|3.0|4.0|3.5|3.0|4.0|4.0|4.0|3.0|1.5|0.5,heist
Cimarron,1931,Drama,3.5,3.5,N/A
"Front Page, The",1931,Comedy,3.5,3.5,N/A
Maidens in Uniform (Mädchen in Uniform),1931,Drama,3.5,3.5,N/A
Dracula,1931,Horror,3.33,4.0|3.5|3.5|2.5|3.0|3.5|3.5|2.5|4.0,N/A
Dr. Jekyll and Mr. Hyde,1931,Drama,2,3.5|0.5,N/A
À nous la liberté (Freedom for Us),1931,Comedy,1,1,N/A
Iron Man,1931,Drama,0.5,0.5,N/A
Grand Hotel,1932,Drama,4,4.0|4.0,N/A
Horse Feathers,1932,Comedy,4,3.5|4.5,marx brothers
Scarface,1932,Crime,3.75,4.0|3.5,N/A
I Am a Fugitive from a Chain Gang,1932,Crime,3.67,4.5|3.5|3.0,N/A
Trouble in Paradise,1932,Comedy,3.5,3.5,N/A
"Mummy, The",1932,Horror,3.33,4.0|2.0|4.0,N/A
Freaks,1932,Crime,3.17,2.5|3.0|3.0|3.0|3.5|3.0|3.0|4.0|3.5,circus
"Farewell to Arms, A",1932,Romance,3,3,hemingway
Boudu Saved From Drowning (Boudu sauvé des eaux),1932,Comedy,0.5,0.5,N/A
Little Women,1933,Drama,4,4.0|5.0|3.5|3.5|4.0,N/A
42nd Street,1933,Drama,4,5.0|3.5|3.5,N/A
